:START_ID(Customer),:END_ID(SalesOrder),creationDate
310000108,740506,2025-03-31
310000109,740507,2025-03-31
310000109,740508,2025-03-31
320000083,740509,2025-04-02
320000083,740510,2025-04-02
320000083,740511,2025-04-02
320000083,740512,2025-04-02
320000083,740513,2025-04-02
320000083,740514,2025-04-02
320000083,740515,2025-04-02
320000083,740516,2025-04-02
320000083,740517,2025-04-02
320000083,740518,2025-04-02
320000083,740519,2025-04-02
320000083,740520,2025-04-02
320000083,740521,2025-04-02
320000083,740522,2025-04-02
320000083,740523,2025-04-02
320000083,740524,2025-04-02
320000083,740525,2025-04-02
320000083,740526,2025-04-02
320000083,740527,2025-04-02
320000083,740528,2025-04-02
320000083,740529,2025-04-02
320000083,740530,2025-04-02
320000083,740531,2025-04-02
320000082,740532,2025-04-02
320000082,740533,2025-04-02
320000083,740534,2025-04-02
320000082,740535,2025-04-02
320000083,740536,2025-04-02
320000082,740537,2025-04-02
320000083,740538,2025-04-02
320000082,740539,2025-04-02
320000083,740540,2025-04-02
320000082,740541,2025-04-02
320000082,740542,2025-04-02
320000082,740543,2025-04-02
320000082,740544,2025-04-02
320000088,740545,2025-04-02
320000085,740546,2025-04-02
320000083,740547,2025-04-02
320000083,740548,2025-04-02
320000083,740549,2025-04-02
320000083,740550,2025-04-02
320000083,740551,2025-04-02
320000083,740552,2025-04-02
320000083,740553,2025-04-02
320000083,740554,2025-04-02
320000083,740555,2025-04-02
320000083,740556,2025-04-02
320000083,740557,2025-04-02
320000083,740558,2025-04-02
320000083,740559,2025-04-02
320000083,740560,2025-04-02
320000083,740561,2025-04-02
320000083,740562,2025-04-02
320000083,740563,2025-04-02
320000083,740564,2025-04-02
320000083,740565,2025-04-02
320000083,740566,2025-04-02
320000083,740567,2025-04-02
320000083,740568,2025-04-02
320000083,740569,2025-04-02
320000083,740570,2025-04-02
320000083,740571,2025-04-02
320000083,740572,2025-04-02
320000083,740573,2025-04-02
320000083,740574,2025-04-02
320000083,740575,2025-04-02
320000083,740576,2025-04-02
320000083,740577,2025-04-02
320000083,740578,2025-04-02
320000083,740579,2025-04-02
320000083,740580,2025-04-02
320000083,740581,2025-04-02
320000083,740582,2025-04-02
320000083,740583,2025-04-02
320000108,740584,2025-04-02
320000107,740585,2025-04-02
320000083,740586,2025-04-02
320000083,740587,2025-04-02
320000108,740588,2025-04-02
320000107,740589,2025-04-02
320000083,740590,2025-04-02
320000108,740591,2025-04-02
320000083,740592,2025-04-02
320000107,740593,2025-04-02
320000108,740594,2025-04-02
320000083,740595,2025-04-02
320000108,740596,2025-04-02
320000107,740597,2025-04-02
320000083,740598,2025-04-02
320000108,740599,2025-04-02
320000107,740600,2025-04-02
320000083,740601,2025-04-02
320000107,740602,2025-04-02
320000108,740603,2025-04-02
320000083,740604,2025-04-02
320000107,740605,2025-04-02
