:START_ID(DeliveryItem),:END_ID(Plant),storageLocation
80738076:000010,WB05,5031
80738076:000020,WB05,5031
80738076:000030,WB05,5031
80738076:000040,WB05,5031
80738076:000050,WB05,5031
80738077:000010,WB05,5031
80738077:000020,WB05,5031
80738077:000030,WB05,5031
80738077:000040,WB05,5031
80738077:000050,WB05,5031
80738078:000010,WB05,5031
80738079:000010,WB05,5031
80738080:000010,WB05,5031
80738081:000010,WB05,5031
80738082:000010,WB05,5031
80738082:000020,WB05,5031
80738083:000010,WB05,5031
80738084:000010,WB05,5031
80738084:000020,WB05,5031
80738084:000030,WB05,5031
80738084:000040,WB05,5031
80738084:000050,WB05,5031
80738084:000060,WB05,5031
80738085:000010,WB05,5031
80738086:000010,WB05,5031
80738087:000010,WB05,5031
80738088:000010,WB05,5031
80738089:000010,WB05,5031
80738090:000010,WB05,5031
80738091:000010,WB05,5031
80738092:000010,WB05,5031
80738093:000010,WB05,5031
80738093:000020,WB05,5031
80738094:000010,WB05,5031
80738094:000020,WB05,5031
80738095:000010,WB05,5031
80738096:000010,WB05,5031
80738097:000010,WB05,5031
80738098:000010,WB05,5031
80738099:000010,WB05,5031
80738100:000010,WB05,5031
80738101:000010,WB05,5031
80738102:000010,WB05,5031
80738103:000010,WB05,5031
80738104:000010,WB05,5031
80738105:000010,WB05,5031
80738106:000010,WB05,5031
80738107:000010,WB05,5031
80738108:000010,WB05,5031
80738109:000010,WB05,5031
80738109:000020,WB05,5031
80738109:000030,WB05,5031
80738109:000040,WB05,5031
80738110:000010,WB05,5031
80738111:000010,WB05,5031
80738111:000020,WB05,5031
80738111:000030,WB05,5031
80738111:000040,WB05,5031
80737721:000010,1920,V2S2
80737721:000020,1920,V2S2
80737721:000030,1920,V2S2
80737721:000040,1920,V2S2
80737721:000050,1920,V2S2
80737722:000010,1920,V2S2
80737722:000020,1920,V2S2
80737722:000030,1920,V2S2
80737722:000040,1920,V2S2
80737723:000010,1920,V2S2
80737723:000020,1920,V2S2
80737723:000030,1920,V2S2
80737723:000040,1920,V2S2
80737921:000010,KA05,5078
80737922:000010,MH05,5085
80738040:000010,WB05,5101
80738041:000010,WB05,5101
80738042:000010,WB05,5101
80738043:000010,WB05,5101
80738044:000010,WB05,5101
80738045:000010,WB05,5101
80738046:000010,WB05,5101
80738047:000010,WB05,5101
80738047:000020,WB05,5101
80738048:000010,WB05,5101
80738049:000010,WB05,5101
80738050:000010,WB05,5101
80738051:000010,WB05,5101
80738052:000010,WB05,5101
80738053:000010,WB05,5101
80738054:000010,WB05,5101
80738055:000010,WB05,5101
80738056:000010,WB05,5101
80738057:000010,WB05,5101
80738058:000010,WB05,5101
80738058:000020,WB05,5101
80738059:000010,WB05,5101
80738060:000010,WB05,5101
80738061:000010,WB05,5101
80738062:000010,WB05,5101
80738063:000010,WB05,5101
80738064:000010,WB05,5101
80738065:000010,WB05,5101
80738066:000010,WB05,5101
80738067:000010,WB05,5101
80738068:000010,WB05,5101
80738069:000010,WB05,5101
80738069:000020,WB05,5101
80738069:000030,WB05,5101
80738069:000040,WB05,5101
80738069:000050,WB05,5101
80738069:000060,WB05,5101
80738069:000070,WB05,5101
80738069:000080,WB05,5101
80738069:000090,WB05,5101
80738069:000100,WB05,5101
80738069:000110,WB05,5101
80738069:000120,WB05,5101
80738070:000010,WB05,5101
80738071:000010,WB05,5101
80738072:000010,WB05,5101
80738073:000010,WB05,5031
80738073:000020,WB05,5031
80738074:000010,WB05,5031
80738075:000010,WB05,5031
80738075:000020,WB05,5031
80738075:000030,WB05,5031
80754574:000010,1301,5095
80754575:000010,1301,5095
80754576:000010,1301,5095
80754601:000010,1301,5095
80754601:000020,1301,5095
80754602:000010,1301,5095
80754603:000010,1301,5095
80754604:000010,1301,5095
80754605:000010,1301,5095
80754606:000010,1301,5095
80754606:000020,1301,5095
80754606:000030,1301,5095
