:START_ID(DeliveryItem),:END_ID(SalesOrderItem),actualQty
80738076:000010,740556:10,1
80738076:000020,740556:20,1
80738076:000030,740556:30,1
80738076:000040,740556:40,1
80738076:000050,740556:50,1
80738077:000010,740557:10,1
80738077:000020,740557:20,1
80738077:000030,740557:30,1
80738077:000040,740557:40,1
80738077:000050,740557:50,1
80738078:000010,740558:10,1
80738079:000010,740559:10,1
80738080:000010,740560:10,1
80738081:000010,740561:10,1
80738082:000010,740562:10,1
80738082:000020,740562:20,1
80738083:000010,740563:10,2
80738084:000010,740564:10,1
80738084:000020,740564:20,1
80738084:000030,740564:30,1
80738084:000040,740564:40,1
80738084:000050,740564:50,1
80738084:000060,740564:60,1
80738085:000010,740565:10,1
80738086:000010,740566:10,1
80738087:000010,740567:10,1
80738088:000010,740568:10,1
80738089:000010,740569:10,1
80738090:000010,740570:10,1
80738091:000010,740571:10,1
80738092:000010,740572:10,1
80738093:000010,740573:10,1
80738093:000020,740573:20,1
80738094:000010,740574:10,1
80738094:000020,740574:20,2
80738095:000010,740575:10,1
80738096:000010,740576:10,1
80738097:000010,740577:10,1
80738098:000010,740578:10,1
80738099:000010,740579:10,1
80738100:000010,740580:10,1
80738101:000010,740581:10,1
80738102:000010,740582:10,1
80738103:000010,740583:10,1
80738104:000010,740586:10,1
80738105:000010,740587:10,1
80738106:000010,740590:10,1
80738107:000010,740592:10,1
80738108:000010,740595:10,1
80738109:000010,740598:10,1
80738109:000020,740598:20,1
80738109:000030,740598:30,1
80738109:000040,740598:40,1
80738110:000010,740601:10,1
80738111:000010,740604:10,1
80738111:000020,740604:20,1
80738111:000030,740604:30,1
80738111:000040,740604:40,1
80737721:000010,740506:10,48
80737721:000020,740506:20,10
80737721:000030,740506:30,8
80737721:000040,740506:40,4
80737721:000050,740506:50,11
80737722:000010,740507:10,24
80737722:000020,740507:20,15
80737722:000030,740507:30,34
80737722:000040,740507:40,17
80737723:000010,740508:10,1
80737723:000020,740508:20,1
80737723:000030,740508:30,1
80737723:000040,740508:40,1
80737921:000010,740545:10,1
80737922:000010,740546:10,1
80738040:000010,740509:10,1
80738041:000010,740510:10,1
80738042:000010,740511:10,1
80738043:000010,740512:10,1
80738044:000010,740513:10,1
80738045:000010,740514:10,1
80738046:000010,740515:10,1
80738047:000010,740516:10,1
80738047:000020,740516:20,2
80738048:000010,740517:10,1
80738049:000010,740518:10,1
80738050:000010,740519:10,1
80738051:000010,740520:10,1
80738052:000010,740521:10,1
80738053:000010,740522:10,1
80738054:000010,740523:10,1
80738055:000010,740524:10,1
80738056:000010,740525:10,1
80738057:000010,740526:10,1
80738058:000010,740527:10,1
80738058:000020,740527:20,1
80738059:000010,740528:10,1
80738060:000010,740529:10,1
80738061:000010,740530:10,1
80738062:000010,740531:10,1
80738063:000010,740534:10,2
80738064:000010,740536:10,1
80738065:000010,740538:10,1
80738066:000010,740540:10,1
80738067:000010,740547:10,1
80738068:000010,740548:10,1
80738069:000010,740549:10,1
80738069:000020,740549:20,1
80738069:000030,740549:30,1
80738069:000040,740549:40,1
80738069:000050,740549:50,1
80738069:000060,740549:60,1
80738069:000070,740549:70,1
80738069:000080,740549:80,1
80738069:000090,740549:90,1
80738069:000100,740549:100,1
80738069:000110,740549:110,1
80738069:000120,740549:120,1
80738070:000010,740550:10,1
80738071:000010,740551:10,1
80738072:000010,740552:10,1
80738073:000010,740553:10,1
80738073:000020,740553:20,1
80738074:000010,740554:10,1
80738075:000010,740555:10,1
80738075:000020,740555:20,1
80738075:000030,740555:30,1
80754574:000010,740532:10,1
80754575:000010,740543:10,1
80754576:000010,740544:10,1
80754601:000010,740533:10,1
80754601:000020,740533:20,2
80754602:000010,740535:10,1
80754603:000010,740537:10,1
80754604:000010,740539:10,1
80754605:000010,740541:10,1
80754606:000010,740542:10,1
80754606:000020,740542:20,2
80754606:000030,740542:30,1
