:START_ID(JournalEntry),:END_ID(Invoice),documentType
ABCD:2025:9400000220:1,90504219,RV
ABCD:2025:9400000226:1,90504225,RV
ABCD:2025:9400000231:1,90504230,RV
ABCD:2025:9400000238:1,90504237,RV
ABCD:2025:9400000239:1,90504238,RV
ABCD:2025:9400000240:1,90504239,RV
ABCD:2025:9400000243:1,90504242,RV
ABCD:2025:9400000246:1,90504245,RV
ABCD:2025:9400000247:1,90504246,RV
ABCD:2025:9400000249:1,90504248,RV
ABCD:2025:9400000268:1,90504267,RV
ABCD:2025:9400000270:1,90504269,RV
ABCD:2025:9400000271:1,90504270,RV
ABCD:2025:9400000272:1,90504272,RV
ABCD:2025:9400000274:1,90504273,RV
ABCD:2025:9400000275:1,90504274,RV
ABCD:2025:9400000277:1,90504276,RV
ABCD:2025:9400000281:1,90504280,RV
ABCD:2025:9400000284:1,90504283,RV
ABCD:2025:9400000285:1,90504284,RV
ABCD:2025:9400000286:1,90504285,RV
ABCD:2025:9400000287:1,90504286,RV
ABCD:2025:9400000289:1,90504288,RV
ABCD:2025:9400000290:1,90504289,RV
ABCD:2025:9400000291:1,90504290,RV
ABCD:2025:9400000293:1,90504292,RV
ABCD:2025:9400000294:1,90504293,RV
ABCD:2025:9400000296:1,90504295,RV
ABCD:2025:9400000298:1,90504297,RV
ABCD:2025:9400000299:1,90504298,RV
ABCD:2025:9400000301:1,90504300,RV
ABCD:2025:9400123662:1,90628265,RV
ABCD:2025:9400123663:1,90628266,RV
ABCD:2025:9400172473:1,90678696,RV
ABCD:2025:9400172475:1,90678698,RV
ABCD:2025:9400172476:1,90678699,RV
ABCD:2025:9400172477:1,90678700,RV
ABCD:2025:9400172478:1,90678701,RV
ABCD:2025:9400172479:1,90678702,RV
ABCD:2025:9400172480:1,90678703,RV
ABCD:2025:9400635986:1,91150215,RV
ABCD:2025:9400635987:1,91150216,RV
ABCD:2025:9400635988:1,91150217,RV
ABCD:2025:9400000205:1,90504204,RV
ABCD:2025:9400000206:1,90504206,RV
ABCD:2025:9400000208:1,90504207,RV
ABCD:2025:9400000209:1,90504208,RV
ABCD:2025:9400000211:1,90504210,RV
ABCD:2025:9400000212:1,90504211,RV
ABCD:2025:9400000213:1,90504212,RV
ABCD:2025:9400000216:1,90504215,RV
ABCD:2025:9400000218:1,90504217,RV
ABCD:2025:9400000219:1,90504218,RV
ABCD:2025:9400000222:1,90504221,RV
ABCD:2025:9400000223:1,90504222,RV
ABCD:2025:9400000224:1,90504223,RV
ABCD:2025:9400000227:1,90504226,RV
ABCD:2025:9400000228:1,90504227,RV
ABCD:2025:9400000229:1,90504228,RV
ABCD:2025:9400000232:1,90504231,RV
ABCD:2025:9400000233:1,90504232,RV
ABCD:2025:9400000235:1,90504234,RV
ABCD:2025:9400000241:1,90504241,RV
ABCD:2025:9400000244:1,90504243,RV
ABCD:2025:9400000250:1,90504249,RV
ABCD:2025:9400000278:1,90504277,RV
ABCD:2025:9400000280:1,90504279,RV
ABCD:2025:9400000282:1,90504281,RV
ABCD:2025:9400000297:1,90504296,RV
ABCD:2025:9400000302:1,90504301,RV
ABCD:2025:9400635854:1,91150083,RV
ABCD:2025:9400635855:1,91150084,RV
ABCD:2025:9400635856:1,91150085,RV
ABCD:2025:9400635857:1,91150086,RV
ABCD:2025:9400635858:1,91150087,RV
ABCD:2025:9400635859:1,91150088,RV
ABCD:2025:9400635861:1,91150090,RV
ABCD:2025:9400635918:1,91150147,RV
ABCD:2025:9400635919:1,91150148,RV
ABCD:2025:9400635920:1,91150149,RV
ABCD:2025:9400635921:1,91150150,RV
ABCD:2025:9400635922:1,91150151,RV
ABCD:2025:9400635923:1,91150152,RV
ABCD:2025:9400635946:1,91150175,RV
ABCD:2025:9400635947:1,91150176,RV
ABCD:2025:9400635948:1,91150177,RV
ABCD:2025:9400635949:1,91150178,RV
ABCD:2025:9400635950:1,91150179,RV
ABCD:2025:9400635951:1,91150180,RV
ABCD:2025:9400635952:1,91150181,RV
ABCD:2025:9400635953:1,91150182,RV
ABCD:2025:9400635954:1,91150183,RV
ABCD:2025:9400635955:1,91150184,RV
ABCD:2025:9400635956:1,91150185,RV
ABCD:2025:9400635957:1,91150186,RV
ABCD:2025:9400635958:1,91150187,RV
ABCD:2025:9400635959:1,91150188,RV
ABCD:2025:9400635960:1,91150189,RV
ABCD:2025:9400635961:1,91150190,RV
ABCD:2025:9400635962:1,91150191,RV
ABCD:2025:9400635963:1,91150192,RV
ABCD:2025:9400635964:1,91150193,RV
ABCD:2025:9400635965:1,91150194,RV
ABCD:2025:9400635966:1,91150195,RV
ABCD:2025:9400635967:1,91150196,RV
ABCD:2025:9400635968:1,91150197,RV
ABCD:2025:9400635969:1,91150198,RV
ABCD:2025:9400635970:1,91150199,RV
ABCD:2025:9400635971:1,91150200,RV
ABCD:2025:9400635972:1,91150201,RV
ABCD:2025:9400635973:1,91150202,RV
ABCD:2025:9400635974:1,91150203,RV
ABCD:2025:9400635975:1,91150204,RV
ABCD:2025:9400635976:1,91150205,RV
ABCD:2025:9400635977:1,91150206,RV
ABCD:2025:9400635978:1,91150207,RV
ABCD:2025:9400635979:1,91150208,RV
ABCD:2025:9400635980:1,91150209,RV
ABCD:2025:9400635981:1,91150210,RV
ABCD:2025:9400635982:1,91150211,RV
ABCD:2025:9400635983:1,91150212,RV
ABCD:2025:9400635984:1,91150213,RV
ABCD:2025:9400635985:1,91150214,RV
